"Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G"
"1,Alex Abrines\abrinal01,SG,24,OKC,19,0,15.2,1.4,3.7,.371,0.8,2.5,.319,0.6,1.2,.478,.479,0.5,0.6,.818,0.4,1.1,1.4,0.4,0.5,0.1,0.4,1.7,4.0"
"2,Quincy Acy\acyqu01,PF,27,BRK,16,0,18.4,1.6,4.8,.329,1.3,3.8,.333,0.3,1.0,.313,.461,1.1,1.4,.818,0.6,3.7,4.3,0.8,0.4,0.2,1.1,2.3,5.5"
"3,Steven Adams\adamsst01,C,24,OKC,18,18,31.1,5.4,8.5,.641,0.0,0.0,,5.4,8.5,.641,.641,1.9,2.7,.714,4.3,3.7,8.0,0.8,1.3,1.2,1.7,2.8,12.8"
"4,Bam Adebayo\adebaba01,C,20,MIA,13,5,14.7,1.8,3.2,.585,0.0,0.0,,1.8,3.2,.585,.585,1.2,1.7,.727,1.5,2.5,4.0,0.2,0.8,0.5,0.7,1.5,4.9"
"5,Arron Afflalo\afflaar01,SG,32,ORL,17,0,11.7,0.6,2.1,.278,0.3,1.0,.294,0.3,1.1,.263,.347,0.4,0.6,.700,0.1,1.4,1.5,0.5,0.1,0.2,0.4,0.9,1.9"
"6,Cole Aldrich\aldrico01,C,29,MIN,5,0,2.0,0.0,0.4,.000,0.0,0.0,,0.0,0.4,.000,.000,0.2,0.4,.500,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.4,0.2"
"7,LaMarcus Aldridge\aldrila01,PF,32,SAS,22,22,33.2,8.9,17.3,.516,0.7,1.7,.395,8.2,15.5,.529,.536,4.5,5.5,.833,3.2,4.9,8.1,2.2,0.6,1.2,1.5,2.3,23.0"
"8,Jarrett Allen\allenja01,C,19,BRK,13,0,15.4,1.7,3.5,.478,0.0,0.1,.000,1.7,3.5,.489,.478,0.8,1.2,.688,1.3,2.5,3.8,0.5,0.7,0.7,0.5,1.6,4.2"
"9,Tony Allen\allento01,SG,36,NOP,18,0,13.1,2.1,4.4,.475,0.2,0.6,.273,1.9,3.8,.507,.494,0.3,0.8,.400,1.0,1.4,2.4,0.5,0.6,0.2,0.9,2.2,4.7"
"10,Al-Farouq Aminu\aminual01,PF,27,POR,9,8,29.3,3.1,7.0,.444,1.7,3.7,.455,1.4,3.3,.433,.563,1.1,1.3,.833,1.6,6.2,7.8,1.6,0.8,1.1,1.0,1.7,9.0"
"11,Justin Anderson\anderju01,SF,24,PHI,10,0,12.6,1.8,4.8,.375,0.9,2.6,.346,0.9,2.2,.409,.469,0.5,0.7,.714,1.0,1.7,2.7,0.3,0.3,0.1,0.4,1.9,5.0"
"12,Kyle Anderson\anderky01,SF,24,SAS,22,22,27.7,3.5,6.9,.513,0.2,0.5,.364,3.4,6.4,.525,.526,1.8,2.3,.765,1.4,4.7,6.1,3.0,1.1,0.9,1.2,1.6,9.0"
"13,Ryan Anderson\anderry01,PF,29,HOU,20,19,30.0,4.3,9.4,.460,3.0,7.3,.411,1.3,2.1,.634,.620,1.1,1.4,.815,1.4,4.4,5.8,0.7,0.3,0.5,0.9,2.0,12.7"
"14,Ike Anigbogu\anigbik01,C,19,IND,6,0,2.8,0.2,0.8,.200,0.0,0.0,,0.2,0.8,.200,.200,0.3,0.3,1.000,0.3,0.3,0.7,0.0,0.2,0.2,0.3,0.2,0.7"
"15,Giannis Antetokounmpo\antetgi01,PF,23,MIL,19,19,37.2,11.1,20.2,.547,0.5,1.7,.273,10.6,18.5,.573,.559,6.6,8.7,.758,1.9,8.2,10.1,4.5,1.7,1.8,2.8,3.6,29.2"
"16,Carmelo Anthony\anthoca01,SF,33,OKC,20,20,32.3,6.9,16.3,.422,2.4,6.4,.367,4.5,9.9,.457,.494,3.1,3.9,.805,0.8,5.5,6.2,1.6,0.9,0.7,1.7,2.9,19.2"
"17,OG Anunoby\anunoog01,SF,20,TOR,21,9,18.8,2.3,4.8,.490,1.0,2.6,.382,1.3,2.1,.622,.595,0.7,1.0,.636,0.6,1.4,2.0,1.0,0.9,0.0,0.4,1.9,6.3"
"18,Ryan Arcidiacono\arcidry01,PG,23,CHI,1,0,5.0,0.0,2.0,.000,0.0,2.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0"
"19,Trevor Ariza\arizatr01,SF,32,HOU,19,19,34.2,4.1,9.4,.433,2.7,7.1,.385,1.3,2.3,.581,.579,1.0,1.1,.905,0.6,3.9,4.6,2.2,1.5,0.2,1.1,1.9,11.8"
"20,Darrell Arthur\arthuda01,PF,29,DEN,2,0,9.5,0.5,3.0,.167,0.0,2.0,.000,0.5,1.0,.500,.167,0.0,0.0,,0.5,1.0,1.5,0.5,0.5,0.0,0.5,1.0,1.0"
"21,Omer Asik\asikom01,C,31,NOP,1,0,11.0,3.0,5.0,.600,0.0,0.0,,3.0,5.0,.600,.600,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0"
"22,D.J. Augustin\augusdj01,PG,30,ORL,16,6,19.9,2.8,5.6,.506,1.1,2.3,.459,1.8,3.3,.538,.601,1.8,2.3,.806,0.3,1.4,1.8,3.8,0.8,0.0,1.6,1.6,8.5"
"23,Luke Babbitt\babbilu01,SF,28,ATL,18,9,19.5,2.8,6.0,.472,1.7,3.9,.437,1.1,2.1,.541,.616,0.4,0.6,.700,0.2,2.3,2.6,0.9,0.3,0.2,0.7,1.8,7.8"
"24,Dwayne Bacon\bacondw01,SG,22,CHO,20,6,19.1,1.8,4.9,.367,0.5,1.5,.345,1.3,3.5,.377,.418,0.4,0.6,.727,0.1,3.7,3.8,1.0,0.3,0.1,0.7,1.6,4.5"
"25,Ron Baker\bakerro01,SG,24,NYK,5,0,11.4,0.6,1.8,.333,0.4,0.6,.667,0.2,1.2,.167,.444,1.0,2.0,.500,0.0,0.8,0.8,2.8,1.2,0.0,1.4,0.8,2.6"
"26,Lonzo Ball\balllo01,PG,20,LAL,21,21,33.4,3.5,11.2,.315,1.3,5.0,.257,2.2,6.2,.362,.372,0.7,1.4,.467,1.4,5.7,7.0,7.2,1.4,0.8,2.6,2.1,9.0"
"27,J.J. Barea\bareajo01,PG,33,DAL,22,1,22.1,4.4,10.4,.421,1.9,5.0,.378,2.5,5.3,.462,.513,1.4,1.8,.769,0.3,2.6,3.0,5.0,0.5,0.0,2.0,1.5,12.0"
"28,Harrison Barnes\barneha02,PF,25,DAL,22,22,35.4,6.7,15.2,.439,1.2,3.8,.321,5.5,11.4,.478,.479,4.2,5.0,.829,1.2,6.2,7.4,2.0,0.7,0.1,2.0,1.7,18.8"
"29,Will Barton\bartowi01,SG,27,DEN,21,4,29.6,5.6,11.7,.480,2.1,4.9,.431,3.5,6.9,.514,.569,2.1,3.0,.688,0.9,4.1,5.0,2.9,1.0,0.4,1.8,1.8,15.4"
"30,Nicolas Batum\batumni01,SG,29,CHO,8,8,27.4,3.8,10.1,.370,1.0,4.5,.222,2.8,5.6,.489,.420,2.0,2.1,.941,0.5,3.0,3.5,3.9,0.8,0.3,1.9,1.4,10.5"
"31,Jerryd Bayless\bayleje01,SG,29,PHI,15,7,28.1,3.4,7.5,.451,1.5,4.0,.383,1.9,3.5,.528,.553,1.4,1.8,.778,0.3,2.1,2.3,2.0,0.7,0.2,1.5,2.5,9.7"
"32,Aron Baynes\baynear01,C,31,BOS,23,12,18.0,2.3,4.8,.482,0.0,0.1,.000,2.3,4.7,.495,.482,1.0,1.5,.657,2.0,3.4,5.4,0.9,0.4,0.7,1.0,2.0,5.6"
"33,Kent Bazemore\bazemke01,SG,28,ATL,21,21,28.4,4.1,10.6,.392,1.3,3.8,.350,2.8,6.8,.415,.455,2.8,3.6,.787,0.4,4.0,4.4,3.6,1.8,0.5,2.4,2.1,12.4"
"34,Bradley Beal\bealbr01,SG,24,WAS,22,22,34.6,8.0,17.4,.457,2.2,5.9,.372,5.8,11.5,.500,.520,4.5,5.6,.813,0.9,3.5,4.4,3.4,1.2,0.5,2.8,1.9,22.6"
"35,Malik Beasley\beaslma01,SG,21,DEN,19,0,8.4,1.1,2.6,.429,0.4,1.2,.318,0.7,1.4,.519,.500,0.3,0.6,.545,0.3,1.2,1.5,0.5,0.2,0.0,0.4,0.6,2.9"
"36,Michael Beasley\beaslmi01,PF,29,NYK,15,2,14.4,3.1,6.1,.511,0.0,0.6,.000,3.1,5.5,.566,.511,0.8,1.3,.600,1.0,2.5,3.5,0.9,0.1,0.4,1.7,1.2,7.1"
"37,Marco Belinelli\belinma01,SG,31,ATL,21,0,26.0,4.2,10.0,.419,2.1,5.2,.409,2.0,4.8,.430,.526,1.9,2.0,.929,0.2,2.0,2.2,2.6,1.2,0.0,1.0,0.9,12.4"
"38,Jordan Bell\belljo01,C,23,GSW,17,1,9.9,2.1,2.8,.745,0.0,0.0,,2.1,2.8,.745,.745,0.1,0.1,.500,1.1,1.9,2.9,0.9,0.6,1.0,0.6,1.6,4.2"
"39,DeAndre' Bembry\bembrde01,SF,23,ATL,7,0,14.0,1.4,4.0,.357,0.1,0.9,.167,1.3,3.1,.409,.375,0.4,0.9,.500,0.1,2.1,2.3,1.3,0.7,0.6,1.7,1.3,3.4"
"40,Dragan Bender\bendedr01,PF,20,PHO,23,1,21.3,1.9,5.0,.386,1.2,3.2,.365,0.7,1.7,.425,.504,0.5,0.7,.750,0.4,3.3,3.7,1.0,0.3,0.6,1.1,1.7,5.5"
"41,Davis Bertans\bertada01,PF,25,SAS,18,0,6.2,0.8,1.9,.412,0.6,1.6,.379,0.2,0.3,.600,.574,0.3,0.4,.750,0.0,0.8,0.8,0.4,0.2,0.1,0.3,0.7,2.5"
"42,Patrick Beverley\beverpa01,SG,29,LAC,11,11,30.4,4.4,10.8,.403,2.2,5.5,.400,2.2,5.4,.407,.504,1.3,1.5,.824,1.5,2.6,4.1,2.9,1.7,0.5,2.3,3.1,12.2"
"43,Khem Birch\birchkh01,C,25,ORL,3,0,3.3,0.7,1.7,.400,0.0,0.0,,0.7,1.7,.400,.400,0.0,0.0,,0.7,0.0,0.7,0.3,0.0,0.0,0.0,1.0,1.3"
"44,Jabari Bird\birdja01,SG,23,BOS,2,0,8.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,1.5,2.5,.600,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,1.5"
"45,Bismack Biyombo\biyombi01,C,25,ORL,23,0,15.7,1.7,3.3,.494,0.0,0.0,.000,1.7,3.3,.500,.494,1.1,1.9,.568,1.4,3.2,4.6,0.3,0.1,1.3,1.1,2.1,4.4"
"46,Nemanja Bjelica\bjeline01,PF,29,MIN,18,0,15.3,2.7,4.6,.578,1.2,2.3,.512,1.5,2.3,.643,.705,0.6,0.7,.917,0.4,2.4,2.8,0.7,0.6,0.2,0.7,1.7,7.1"
"47,Tarik Black\blackta01,C,26,HOU,16,0,9.3,1.4,2.5,.550,0.0,0.4,.000,1.4,2.1,.647,.550,0.7,1.0,.688,1.1,2.1,3.1,0.4,0.4,0.6,0.6,2.1,3.4"
"48,Antonio Blakeney\blakean01,SG,21,CHI,11,0,14.8,2.5,7.0,.364,0.7,2.5,.286,1.8,4.5,.408,.416,1.3,1.7,.737,0.3,1.5,1.8,0.6,0.2,0.0,0.7,0.7,7.1"
"49,Eric Bledsoe\bledser01,PG,28,TOT,13,13,29.6,5.9,13.7,.433,1.2,4.2,.273,4.8,9.5,.504,.475,3.5,4.8,.726,0.8,2.8,3.6,4.5,1.9,0.8,2.9,2.3,16.5"
"49,Eric Bledsoe\bledser01,PG,28,PHO,3,3,27.7,5.3,13.3,.400,1.3,4.3,.308,4.0,9.0,.444,.450,3.7,4.7,.786,1.0,1.3,2.3,3.0,1.3,0.7,3.3,2.0,15.7"
"49,Eric Bledsoe\bledser01,PG,28,MIL,10,10,30.2,6.1,13.8,.442,1.1,4.2,.262,5.0,9.6,.521,.482,3.4,4.8,.708,0.8,3.2,4.0,5.0,2.1,0.8,2.8,2.4,16.7"
"50,Vander Blue\blueva01,SG,25,LAL,4,0,7.0,0.3,0.8,.333,0.0,0.0,,0.3,0.8,.333,.333,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.5,0.5,0.5"
"51,Bogdan Bogdanovic\bogdabo01,SG,25,SAC,19,10,23.7,3.8,8.4,.450,1.0,3.0,.333,2.8,5.4,.515,.509,1.3,1.5,.828,0.3,1.8,2.2,2.0,1.0,0.4,1.6,1.5,9.8"
"52,Bojan Bogdanovic\bogdabo02,SF,28,IND,23,23,31.1,5.5,10.9,.502,2.2,5.0,.439,3.3,6.0,.555,.602,1.7,2.0,.830,0.3,3.0,3.2,1.2,0.6,0.0,1.1,1.7,14.8"
"53,Andrew Bogut\bogutan01,C,33,LAL,14,0,8.0,0.6,0.9,.615,0.0,0.0,,0.6,0.9,.615,.615,0.0,0.0,,0.7,2.4,3.1,0.6,0.1,0.7,0.7,1.1,1.1"
"54,Joel Bolomboy\bolomjo01,PF,24,MIL,5,0,6.2,0.2,0.8,.250,0.0,0.2,.000,0.2,0.6,.333,.250,0.6,1.2,.500,1.0,0.6,1.6,0.0,0.4,0.0,0.4,0.4,1.0"
"55,Devin Booker\bookede01,SG,21,PHO,22,22,33.4,8.0,17.9,.447,2.4,6.4,.376,5.6,11.5,.486,.514,4.5,5.2,.870,0.5,4.0,4.4,4.0,0.9,0.3,3.3,2.9,23.0"
"56,Trevor Booker\booketr01,PF,30,BRK,16,4,22.5,4.6,8.6,.533,0.2,0.8,.250,4.4,7.8,.560,.544,1.4,2.6,.561,2.3,4.6,6.9,1.9,0.5,0.3,1.7,2.3,10.8"
"57,Avery Bradley\bradlav01,SG,27,DET,21,21,31.8,6.3,14.0,.447,2.0,4.7,.429,4.3,9.4,.457,.519,2.0,2.6,.796,0.7,2.0,2.7,2.0,1.6,0.2,2.6,2.3,16.6"
"58,Tony Bradley\bradlto01,C,20,UTA,7,0,3.0,0.1,1.3,.111,0.0,0.1,.000,0.1,1.1,.125,.111,0.3,0.3,1.000,0.4,0.7,1.1,0.1,0.0,0.0,0.0,0.1,0.6"
"59,Corey Brewer\breweco01,SF,31,LAL,21,1,12.5,1.1,2.5,.453,0.1,0.8,.188,1.0,1.8,.568,.481,0.6,0.9,.667,0.2,1.2,1.4,0.8,0.9,0.2,0.6,1.4,3.0"
"60,Malcolm Brogdon\brogdma01,PG,25,MIL,19,10,30.3,5.1,10.6,.478,1.7,3.8,.438,3.4,6.7,.500,.557,1.3,1.6,.833,0.1,2.7,2.8,3.6,1.0,0.2,1.6,2.4,13.1"
"61,Aaron Brooks\brookaa01,PG,33,MIN,11,1,4.8,0.9,1.9,.476,0.5,0.9,.500,0.5,1.0,.455,.595,0.1,0.2,.500,0.2,0.4,0.5,0.6,0.1,0.0,0.2,0.6,2.4"
"62,Dillon Brooks\brookdi01,SF,22,MEM,21,13,29.3,3.2,7.2,.450,0.8,2.4,.314,2.5,4.8,.520,.503,1.0,1.4,.724,0.8,2.8,3.5,1.3,1.0,0.6,1.6,3.4,8.2"
"63,Bobby Brown\brownbo02,PG,33,HOU,15,0,6.7,0.9,3.2,.292,0.6,2.2,.273,0.3,1.0,.333,.385,0.1,0.1,.500,0.0,0.5,0.5,0.6,0.2,0.0,0.5,0.3,2.5"
"64,Jaylen Brown\brownja02,SF,21,BOS,22,22,31.8,5.5,12.0,.456,1.8,4.5,.400,3.6,7.4,.491,.532,2.2,3.8,.590,1.1,5.0,6.1,1.2,1.1,0.3,1.6,2.9,15.0"
"65,Lorenzo Brown\brownlo01,PG,27,TOR,4,0,11.5,0.3,1.5,.167,0.0,0.8,.000,0.3,0.8,.333,.167,0.0,0.0,,0.0,1.8,1.8,1.3,0.8,0.0,0.0,0.8,0.5"
"66,Sterling Brown\brownst02,SG,22,MIL,5,0,5.8,0.8,2.4,.333,0.2,0.8,.250,0.6,1.6,.375,.375,0.0,0.0,,0.4,0.6,1.0,0.4,0.4,0.0,0.2,0.8,1.8"
"67,Nicolas Brussino\brussni01,SF,24,ATL,4,0,2.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0"
"68,Reggie Bullock\bullore01,SF,26,DET,11,3,15.1,0.9,2.9,.313,0.3,1.7,.158,0.6,1.2,.538,.359,0.2,0.4,.500,0.3,0.8,1.1,1.1,0.7,0.2,0.3,0.5,2.3"
"69,Alec Burks\burksal01,SG,26,UTA,22,0,18.6,3.2,7.5,.424,1.0,2.5,.400,2.2,5.0,.436,.491,1.6,1.7,.921,0.2,2.8,3.0,0.9,1.0,0.3,0.8,1.1,9.0"
"70,Jimmy Butler\butleji01,SG,28,MIN,21,21,36.4,6.3,14.3,.440,1.1,2.9,.377,5.2,11.4,.456,.478,4.0,4.9,.833,1.2,4.1,5.3,4.6,1.9,0.3,2.1,1.4,17.7"
"71,Bruno Caboclo\cabocbr01,SF,22,TOR,2,0,3.5,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.0"
"72,Jose Calderon\caldejo01,PG,36,CLE,13,7,13.4,0.8,1.8,.458,0.5,1.0,.462,0.4,0.8,.455,.583,0.4,0.5,.833,0.2,0.8,1.0,1.5,0.5,0.0,0.8,1.3,2.5"
"73,Kentavious Caldwell-Pope\caldwke01,SG,24,LAL,19,19,34.9,5.0,11.8,.422,2.1,5.9,.354,2.9,5.9,.491,.511,2.1,2.7,.750,0.9,4.4,5.3,2.5,1.7,0.4,1.8,2.2,14.2"
"74,Isaiah Canaan\canaais01,SG,26,HOU,1,0,4.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0"
"75,Clint Capela\capelca01,C,23,HOU,21,21,25.9,5.9,8.8,.670,0.0,0.0,.000,5.9,8.8,.674,.670,1.9,3.0,.645,3.3,8.0,11.3,1.3,0.8,1.7,1.6,2.8,13.7"
"76,DeMarre Carroll\carrode01,SF,31,BRK,19,19,29.7,4.5,10.4,.434,1.9,5.1,.385,2.6,5.4,.480,.528,3.2,4.3,.753,1.7,5.1,6.8,1.6,1.1,0.4,1.4,2.6,14.2"
"77,Vince Carter\cartevi01,SF,41,SAC,13,0,12.0,1.0,3.5,.289,0.6,2.0,.308,0.4,1.5,.263,.378,0.2,0.5,.500,0.1,1.3,1.4,0.7,0.5,0.3,0.5,1.4,2.8"
"78,Michael Carter-Williams\cartemi01,PG,26,CHO,10,2,18.3,1.3,5.0,.260,0.4,1.1,.364,0.9,3.9,.231,.300,2.6,3.2,.813,1.0,2.0,3.0,3.1,1.1,0.4,1.5,2.3,5.6"
"79,Alex Caruso\carusal01,PG,23,LAL,2,0,9.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0"
"80,Omri Casspi\casspom01,SF,29,GSW,19,4,14.1,2.4,4.0,.605,0.4,0.5,.700,2.1,3.5,.591,.651,1.0,1.3,.792,0.5,3.5,3.9,1.0,0.3,0.6,0.7,1.6,6.2"
"81,Willie Cauley-Stein\caulewi01,C,24,SAC,22,15,25.3,4.4,8.7,.503,0.0,0.3,.167,4.3,8.4,.514,.505,1.7,2.4,.717,1.8,4.4,6.1,2.2,0.8,1.1,1.5,2.1,10.5"
"82,Tyler Cavanaugh\cavanty01,PF,23,ATL,12,0,9.1,1.3,2.5,.533,0.7,1.6,.421,0.7,0.9,.727,.667,0.2,0.2,1.000,0.4,1.5,1.9,0.8,0.1,0.1,0.2,1.2,3.5"
"83,Mario Chalmers\chalmma01,PG,31,MEM,20,7,24.5,2.7,7.6,.355,0.7,3.1,.230,2.0,4.6,.440,.401,2.1,2.7,.792,0.2,2.9,3.1,4.0,1.4,0.1,1.8,3.1,8.2"
"84,Tyson Chandler\chandty01,C,35,PHO,17,17,25.1,2.9,4.5,.645,0.0,0.0,,2.9,4.5,.645,.645,1.5,2.3,.667,2.8,6.4,9.2,0.7,0.3,0.6,1.2,2.8,7.3"
"85,Wilson Chandler\chandwi01,SF,30,DEN,18,18,30.3,3.2,7.4,.433,0.9,2.9,.302,2.3,4.5,.519,.493,1.4,1.8,.813,1.2,3.2,4.4,2.7,0.5,0.4,1.6,1.9,8.8"
"86,Marquese Chriss\chrisma01,PF,20,PHO,23,17,20.0,2.3,5.8,.391,0.7,2.3,.321,1.5,3.5,.438,.455,1.0,1.4,.727,0.8,4.0,4.8,1.1,0.6,1.2,1.2,3.1,6.3"
"87,Ian Clark\clarkia01,SG,26,NOP,19,0,15.3,1.7,4.9,.355,0.8,2.6,.306,0.9,2.3,.409,.435,0.4,0.6,.667,0.1,1.3,1.4,1.5,0.4,0.0,0.8,1.3,4.7"
"88,Jordan Clarkson\clarkjo01,SG,25,LAL,21,0,22.6,6.1,12.3,.494,1.2,3.2,.373,4.9,9.1,.536,.542,2.0,2.7,.754,0.8,2.1,2.9,3.0,0.7,0.0,1.8,1.6,15.4"
"89,Gian Clavell\clavegi01,SG,24,DAL,7,0,9.1,0.9,2.6,.333,0.9,2.1,.400,0.0,0.4,.000,.500,0.3,0.3,1.000,0.1,0.9,1.0,0.4,0.3,0.0,0.3,1.1,2.9"
"90,Antonius Cleveland\clevean01,SG,23,DAL,5,0,3.4,0.2,0.4,.500,0.0,0.0,,0.2,0.4,.500,.500,0.2,0.4,.500,0.0,0.4,0.4,0.4,0.2,0.0,0.0,0.4,0.6"
"91,John Collins\collijo01,PF,20,ATL,21,4,23.0,4.9,8.3,.592,0.0,0.0,.000,4.9,8.2,.595,.592,1.7,2.2,.766,3.1,4.0,7.1,0.8,0.7,0.9,1.5,3.7,11.5"
"92,Zach Collins\colliza01,C,20,POR,7,0,4.9,0.1,1.3,.111,0.1,0.4,.333,0.0,0.9,.000,.167,0.0,0.0,,0.3,0.6,0.9,0.3,0.0,0.0,0.9,1.4,0.4"
"93,Darren Collison\collida01,PG,30,IND,23,23,32.0,4.4,9.6,.457,1.2,3.1,.380,3.2,6.5,.493,.518,2.3,2.7,.869,0.7,2.4,3.1,6.5,1.3,0.1,1.6,2.0,12.3"
"94,Nick Collison\collini01,PF,37,OKC,3,0,5.0,0.7,0.7,1.000,0.0,0.0,,0.7,0.7,1.000,1.000,0.7,0.7,1.000,0.3,1.0,1.3,0.7,0.0,0.0,0.3,0.3,2.0"
"95,Mike Conley\conlemi01,PG,30,MEM,12,12,31.1,5.3,14.0,.381,2.0,6.4,.312,3.3,7.6,.440,.452,4.4,5.5,.803,0.0,2.3,2.3,4.1,1.0,0.3,1.5,2.0,17.1"
"96,Pat Connaughton\connapa01,SG,25,POR,22,4,19.3,2.3,4.9,.463,1.2,2.8,.443,1.0,2.1,.489,.588,0.6,0.6,.929,0.2,2.0,2.2,1.1,0.1,0.2,0.6,1.3,6.4"
"97,Quinn Cook\cookqu01,PG,24,GSW,3,0,6.3,1.0,1.7,.600,0.0,0.7,.000,1.0,1.0,1.000,.600,0.0,0.0,,0.0,0.7,0.7,1.7,0.0,0.0,0.3,1.0,2.0"
"98,Charles Cooke\cookech01,SG,23,NOP,2,0,2.5,0.5,2.0,.250,0.0,1.0,.000,0.5,1.0,.500,.250,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0"
"99,Jack Cooley\cooleja01,PF,26,SAC,1,0,2.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,2.0,2.0,1.000,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0"
"100,Matt Costello\costema01,C,24,SAS,1,0,11.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,5.0,5.0,0.0,0.0,2.0,0.0,3.0,2.0"
"101,DeMarcus Cousins\couside01,C,27,NOP,22,22,35.7,8.6,18.9,.458,2.2,6.7,.327,6.5,12.2,.530,.516,5.5,7.3,.763,2.1,10.4,12.5,5.3,1.5,1.5,5.0,3.6,25.0"
"102,Robert Covington\covinro01,PF,27,PHI,21,21,31.4,5.0,11.3,.445,3.1,7.4,.417,2.0,3.9,.500,.582,1.5,1.9,.800,1.0,5.1,6.1,1.7,1.6,0.6,1.9,3.5,14.7"
"103,Allen Crabbe\crabbal01,SG,25,BRK,18,11,27.3,4.2,10.2,.410,2.4,6.2,.396,1.7,4.0,.431,.530,1.6,1.9,.829,0.5,3.5,4.0,1.4,0.7,0.3,1.1,1.7,12.4"
"104,Torrey Craig\craigto01,SF,27,DEN,1,0,6.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0"
"105,Jamal Crawford\crawfja01,SG,37,MIN,23,0,17.4,3.1,7.7,.409,1.2,3.3,.368,1.9,4.3,.440,.489,1.7,1.8,.929,0.3,0.8,1.1,2.0,0.6,0.1,1.3,1.0,9.2"
"106,Jordan Crawford\crawfjo02,SG,29,NOP,2,0,18.5,3.5,7.0,.500,2.0,2.5,.800,1.5,4.5,.333,.643,0.0,0.0,,1.0,0.5,1.5,4.5,0.0,0.5,2.0,3.0,9.0"
"107,Jae Crowder\crowdja01,SF,27,CLE,22,19,26.0,2.8,7.2,.392,1.2,3.6,.329,1.6,3.6,.456,.475,2.0,2.2,.878,0.8,2.5,3.3,1.0,0.6,0.0,1.0,2.3,8.8"
"108,Dante Cunningham\cunnida01,SF,30,NOP,22,16,22.7,1.9,4.9,.393,0.8,2.8,.290,1.1,2.0,.533,.477,0.4,0.7,.563,0.8,2.6,3.5,0.6,0.5,0.2,0.3,1.9,5.0"
"109,Stephen Curry\curryst01,PG,29,GSW,21,21,32.6,8.2,17.7,.464,3.5,9.4,.369,4.7,8.2,.572,.562,6.1,6.5,.941,0.6,4.6,5.2,6.5,1.8,0.2,3.1,2.4,26.0"
"110,Troy Daniels\danietr01,SG,26,PHO,23,0,15.3,2.2,5.1,.432,1.8,4.1,.436,0.4,1.0,.417,.606,0.1,0.2,.750,0.1,0.9,1.0,0.4,0.2,0.0,0.6,1.3,6.3"
"111,Anthony Davis\davisan02,PF,24,NOP,21,21,34.9,9.2,16.0,.573,0.7,1.9,.359,8.5,14.2,.601,.593,6.2,7.9,.783,2.4,8.6,11.0,2.6,1.2,1.7,2.2,1.9,25.2"
"112,Deyonta Davis\davisde01,C,21,MEM,9,0,11.8,1.7,2.8,.600,0.0,0.0,,1.7,2.8,.600,.600,0.6,0.8,.714,0.6,2.7,3.2,0.4,0.3,0.8,0.3,1.8,3.9"
"113,Ed Davis\davised01,PF,28,POR,22,0,18.0,1.8,3.8,.470,0.0,0.0,,1.8,3.8,.470,.470,1.2,1.7,.684,2.8,4.7,7.5,0.4,0.5,0.8,1.0,2.3,4.7"
"114,Dewayne Dedmon\dedmode01,C,28,ATL,20,20,24.4,4.6,7.7,.601,0.7,1.5,.483,3.9,6.2,.629,.647,1.2,1.6,.719,2.0,5.8,7.8,1.4,0.4,0.9,1.8,3.0,11.1"
"115,Sam Dekker\dekkesa01,SF,23,LAC,17,0,10.1,1.4,3.3,.411,0.2,1.6,.148,1.1,1.7,.655,.446,0.3,0.5,.625,0.6,1.4,2.0,0.4,0.5,0.2,0.5,0.8,3.2"
"116,Malcolm Delaney\delanma01,PG,28,ATL,17,2,20.4,1.8,5.0,.365,0.8,2.1,.371,1.1,2.9,.360,.441,1.0,1.4,.708,0.3,1.7,2.0,2.0,0.8,0.1,1.2,1.4,5.4"
