"Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G"
"276,Frank Mason\masonfr01,PG,23,SAC,15,0,17.1,2.6,6.4,.406,0.7,1.4,.476,1.9,5.0,.387,.458,1.5,1.9,.786,0.5,1.3,1.7,3.3,0.3,0.0,1.5,1.0,7.3"
"277,Mangok Mathiang\mathima01,C,25,CHO,1,0,3.0,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0"
"278,Wesley Matthews\matthwe02,SG,31,DAL,22,21,35.0,4.0,10.4,.380,2.5,6.2,.412,1.4,4.2,.333,.502,1.2,1.5,.794,0.4,2.8,3.1,2.9,1.2,0.1,1.6,2.2,11.7"
"279,Luc Mbah a Moute\mbahalu01,PF,31,HOU,19,3,26.5,2.9,5.8,.495,1.2,2.9,.393,1.7,2.9,.600,.595,0.9,1.3,.720,0.5,2.9,3.5,1.0,1.5,0.5,1.4,2.2,7.9"
"280,James Michael McAdoo\mcadoja01,PF,25,PHI,1,0,7.0,1.0,4.0,.250,1.0,4.0,.250,0.0,0.0,,.375,2.0,2.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0"
"281,Patrick McCaw\mccawpa01,SG,22,GSW,21,1,13.4,1.6,3.1,.508,0.6,1.4,.414,1.0,1.7,.583,.600,0.2,0.3,.714,0.2,0.6,0.9,1.4,0.6,0.2,0.4,0.8,4.0"
"282,C.J. McCollum\mccolcj01,SG,26,POR,21,21,36.5,7.9,17.4,.451,2.8,5.9,.472,5.1,11.6,.440,.530,2.7,3.1,.877,0.6,3.8,4.3,2.6,1.0,0.4,2.1,2.4,21.2"
"283,T.J. McConnell\mccontj01,PG,25,PHI,20,1,24.4,3.1,5.8,.526,0.5,0.8,.563,2.6,5.0,.520,.565,0.5,0.6,.833,0.6,3.0,3.6,5.4,1.2,0.2,2.0,2.2,7.1"
"284,Chris McCullough\mcculch01,PF,22,WAS,5,0,7.2,1.4,2.8,.500,0.2,0.6,.333,1.2,2.2,.545,.536,0.8,1.2,.667,0.4,1.0,1.4,0.2,0.0,0.4,0.0,1.2,3.8"
"285,Doug McDermott\mcderdo01,SF,26,NYK,21,0,22.9,3.1,6.5,.485,1.1,2.7,.411,2.0,3.8,.538,.570,0.5,0.7,.786,0.8,2.1,3.0,1.0,0.1,0.3,0.7,1.7,7.9"
"286,JaVale McGee\mcgeeja01,C,30,GSW,20,0,7.8,1.4,2.6,.538,0.0,0.1,.000,1.4,2.5,.560,.538,0.6,0.8,.750,0.7,1.3,2.0,0.6,0.4,0.7,0.5,1.1,3.4"
"287,Alfonzo McKinnie\mckinal01,SF,25,TOR,7,0,3.6,0.6,0.9,.667,0.1,0.4,.333,0.4,0.4,1.000,.750,0.3,0.4,.667,0.0,0.7,0.7,0.1,0.0,0.1,0.1,0.9,1.6"
"288,Ben McLemore\mclembe01,SG,24,MEM,10,2,19.3,2.9,7.1,.408,0.7,2.8,.250,2.2,4.3,.512,.458,0.9,0.9,1.000,0.6,1.6,2.2,0.7,0.6,0.4,1.2,2.8,7.4"
"289,Jodie Meeks\meeksjo01,SG,30,WAS,22,0,17.1,2.4,6.1,.393,1.1,3.3,.333,1.3,2.9,.460,.481,2.1,2.4,.885,0.1,1.0,1.1,0.5,0.6,0.0,0.5,1.1,8.0"
"290,Salah Mejri\mejrisa01,C,31,DAL,18,1,12.2,1.3,1.8,.697,0.0,0.1,.000,1.3,1.7,.742,.697,0.7,1.3,.522,1.5,3.1,4.6,0.5,0.4,1.4,0.5,1.9,3.2"
"291,Jordan Mickey\mickejo01,PF,23,MIA,4,2,9.3,1.5,2.8,.545,0.0,0.3,.000,1.5,2.5,.600,.545,0.5,0.8,.667,1.0,3.3,4.3,0.0,0.0,0.5,0.8,1.3,3.5"
"292,Khris Middleton\middlkh01,SF,26,MIL,20,20,36.7,7.3,16.1,.452,1.8,5.2,.337,5.5,10.9,.507,.506,3.1,3.6,.859,0.6,5.0,5.6,4.4,1.4,0.1,2.5,3.7,19.3"
"293,C.J. Miles\milescj01,SF,30,TOR,18,0,19.0,3.3,8.2,.405,2.5,6.4,.391,0.8,1.8,.455,.557,1.1,1.2,.905,0.3,1.8,2.1,0.7,0.6,0.5,0.6,2.0,10.2"
"294,Darius Miller\milleda01,SF,27,NOP,22,1,18.0,2.5,5.0,.500,2.0,4.0,.494,0.5,1.0,.522,.695,0.5,0.6,.857,0.1,1.4,1.5,1.0,0.3,0.1,0.5,1.7,7.5"
"295,Patty Mills\millspa02,PG,29,SAS,22,12,26.1,3.2,8.5,.374,1.7,5.0,.345,1.5,3.5,.416,.476,1.0,1.0,.913,0.3,1.9,2.2,3.6,0.9,0.2,1.3,1.4,9.0"
"296,Paul Millsap\millspa01,PF,32,DEN,16,16,29.7,5.6,12.6,.446,1.3,3.6,.345,4.4,9.0,.486,.495,2.8,4.1,.692,1.5,4.7,6.2,3.0,1.1,1.3,2.1,2.4,15.3"
"297,Donovan Mitchell\mitchdo01,SG,21,UTA,23,15,29.0,6.0,14.8,.402,2.3,6.3,.368,3.7,8.6,.426,.479,2.2,2.7,.820,0.6,2.5,3.1,3.3,1.3,0.5,2.3,3.0,16.4"
"298,Malik Monk\monkma01,SG,19,CHO,19,0,17.6,2.7,7.8,.345,1.5,4.5,.329,1.2,3.3,.365,.439,0.6,0.8,.750,0.1,1.4,1.5,1.9,0.3,0.2,0.9,1.2,7.5"
"299,Greg Monroe\monrogr01,C,27,TOT,12,6,19.1,4.4,7.8,.570,0.0,0.0,,4.4,7.8,.570,.570,0.7,1.0,.667,2.0,4.2,6.2,1.7,0.4,0.3,1.7,1.8,9.5"
"299,Greg Monroe\monrogr01,C,27,MIL,5,0,15.8,3.2,6.6,.485,0.0,0.0,,3.2,6.6,.485,.485,0.4,0.8,.500,1.2,3.8,5.0,1.0,0.0,0.0,1.2,1.4,6.8"
