"Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP"
"64,Jaylen Brown\brownja02,SF,21,BOS,22,699,13.8,.549,.380,.316,3.8,17.0,10.6,6.2,1.8,0.7,10.5,21.2,,0.4,1.3,1.7,.120,,-0.7,0.8,0.1,0.4"
"65,Lorenzo Brown\brownlo01,PG,27,TOR,4,46,5.2,.167,.500,.000,0.0,17.0,8.8,12.9,3.2,0.0,0.0,5.8,,0.0,0.1,0.0,.032,,-3.8,3.0,-0.8,0.0"
"66,Sterling Brown\brownst02,SG,22,MIL,5,29,8.0,.375,.333,.000,8.1,12.2,10.2,10.2,3.5,0.0,7.7,20.6,,-0.1,0.0,0.0,-0.028,,-3.8,-1.8,-5.6,0.0"
"67,Nicolas Brussino\brussni01,SF,24,ATL,4,10,-4.7,.000,1.000,.000,0.0,34.4,17.0,0.0,0.0,0.0,0.0,8.8,,0.0,0.0,0.0,-0.191,,-13.2,-5.2,-18.4,0.0"
"68,Reggie Bullock\bullore01,SF,26,DET,11,166,6.3,.370,.594,.125,2.0,6.4,4.1,9.3,2.4,1.0,8.2,9.7,,-0.1,0.2,0.1,.025,,-3.1,1.1,-2.0,0.0"
"69,Alec Burks\burksal01,SG,26,UTA,22,410,15.6,.542,.333,.230,1.1,18.0,9.2,7.6,2.6,1.5,8.6,21.9,,0.3,0.6,0.9,.108,,-1.6,0.1,-1.5,0.1"
"70,Jimmy Butler\butleji01,SG,28,MIN,21,764,18.1,.539,.203,.340,3.7,13.3,8.5,19.4,2.5,0.7,11.3,22.3,,1.3,0.5,1.9,.117,,1.9,0.0,1.8,0.7"
"71,Bruno Caboclo\cabocbr01,SF,22,TOR,2,7,-0.1,.000,1.000,.000,0.0,16.0,8.3,16.6,7.0,0.0,0.0,12.6,,0.0,0.0,0.0,-0.123,,-6.0,4.3,-1.7,0.0"
"72,Jose Calderon\caldejo01,PG,36,CLE,13,174,7.4,.619,.542,.250,1.3,6.8,4.2,15.0,1.7,0.0,27.3,9.3,,0.1,0.1,0.2,.049,,-1.5,-1.7,-3.2,-0.1"
"73,Kentavious Caldwell-Pope\caldwke01,SG,24,LAL,19,664,12.7,.543,.502,.231,2.7,13.0,7.9,10.1,2.2,0.8,12.4,17.7,,0.3,0.9,1.3,.091,,-0.1,0.7,0.6,0.4"
"74,Isaiah Canaan\canaais01,SG,26,HOU,1,4,-7.3,.000,.000,.000,0.0,27.8,14.0,0.0,0.0,0.0,0.0,10.8,,0.0,0.0,0.0,-0.213,,-16.8,-3.4,-20.3,0.0"
"75,Clint Capela\capelca01,C,23,HOU,21,543,26.3,.678,.005,.335,14.4,34.4,24.5,8.9,1.4,5.6,13.8,19.6,,1.9,1.2,3.1,.276,,1.2,3.9,5.1,1.0"
"76,DeMarre Carroll\carrode01,SF,31,BRK,19,564,16.3,.578,.485,.409,5.9,18.5,12.0,7.9,1.7,1.1,10.0,19.0,,1.0,0.4,1.5,.125,,1.5,-0.1,1.4,0.5"
"77,Vince Carter\cartevi01,SF,41,SAC,13,156,4.5,.388,.578,.133,0.7,13.2,6.6,8.3,1.9,2.4,11.2,15.5,,-0.3,0.1,-0.2,-0.057,,-4.9,-0.8,-5.7,-0.1"
