player,salary
Pat Connaughton,874636
Shabazz Napier,1350120
Tim Quarterman,543471
Danilo Gallinari,15050000
Darrell Arthur,8070175
Emmanuel Mudiay,3241800
Gary Harris,1655880
Jamal Murray,3210840
Jameer Nelson,4540525
Juan Hernangomez,1987440
Kenneth Faried,12078652
Malik Beasley,1627320
Mason Plumlee,2328530
Mike Miller,3500000
Nikola Jokic,1358500
Roy Hibbert,5.00E+06
Will Barton,3533333
Wilson Chandler,11200000
Alexis Ajinca,4600000
Anthony Davis,22116750
Axel Toupane,20580
Cheick Diallo,543471
Dante Cunningham,2978250
DeMarcus Cousins,16957900
Donatas Motiejunas,576724
E'Twaun Moore,8081363
Jordan Crawford,173094
Jrue Holiday,11286518
Omer Asik,9904494
Quinn Cook,63938
Solomon Hill,11241218
Tim Frazier,2090000
A.J. Hammons,650000
DeAndre Liggins,1015696
Devin Harris,4228000
Dirk Nowitzki,2.50E+07
Dorian Finney-Smith,543471
Dwight Powell,8375000
Harrison Barnes,22116750
J.J. Barea,4096950
Jarrod Uthoff,63938
Nerlens Noel,4384490
Nicolas Brussino,543471
Salah Mejri,874636
Seth Curry,2898000
Wesley Matthews,17100000
Yogi Ferrell,207798
Anthony Tolliver,8.00E+06
Arron Afflalo,12500000
Ben McLemore,4008882
Buddy Hield,3517200
Darren Collison,5229454
Garrett Temple,8.00E+06
Georgios Papagiannis,2202240
Kosta Koufos,8046500
Langston Galloway,5200000
Malachi Richardson,1439880
Rudy Gay,13333333
Skal Labissiere,1188840
Ty Lawson,1315448
Tyreke Evans,10661286
Willie Cauley-Stein,3551160
Adreian Payne,2022240
Andrew Wiggins,6006600
Brandon Rush,3500000
Cole Aldrich,7643979
Gorgui Dieng,2348783
Jordan Hill,3911380
Karl-Anthony Towns,5960160
Kris Dunn,3872520
Nemanja Bjelica,3800000
Omri Casspi,138414
Ricky Rubio,13550000
Shabazz Muhammad,3046299
Tyus Jones,1339680
Zach LaVine,2240880
Brandon Ingram,5281680
Corey Brewer,7600000
D'Angelo Russell,5332800
David Nwaba,73528
Ivica Zubac,1034956
Jordan Clarkson,12500000
Julius Randle,3267120
Larry Nance Jr.,1207680
Luol Deng,1.80E+07
Metta World Peace,1551659
Nick Young,5443918
Tarik Black,6191000
Thomas Robinson,1050961
Timofey Mozgov,1.60E+07
Tyler Ennis,1733880
Alan Williams,874636
Alex Len,4823621
Brandon Knight,12606250
Derrick Jones,543471
Devin Booker,2223600
Dragan Bender,4276320
Elijah Millsap,23069
Eric Bledsoe,1.40E+07
Jared Dudley,10470000
Leandro Barbosa,4.00E+06
Marquese Chriss,2941440
Ronnie Price,282595
T.J. Warren,2128920
Tyler Ulis,918369
Tyson Chandler,12415000
