,fg%,fga,3p%,3pa,2p%,2pa,ft%,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,efg%,age,per,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ows,dws,ws,ws/48,obpm,dbpm,bpm,vorp,season
mean,0.4611696428571429,49.69655172413793,0.3063482142857143,10.53448275862069,0.48475,39.168965517241375,0.7841607142857141,15.899999999999999,5.103448275862069,16.393103448275863,21.49310344827586,14.948275862068968,4.241379310344827,2.362068965517241,8.317241379310344,9.337931034482759,62.203448275862065,0.5019642857142858,26.875,17.340178571428574,0.22366071428571432,0.3136517857142857,4.569642857142857,14.63125,9.60625,19.09196428571429,1.674107142857143,1.3973214285714286,12.882142857142862,22.537499999999998,3.4625,2.3937500000000003,5.851785714285714,0.11991964285714288,1.2875,0.05446428571428573,1.3401785714285714,2.01875,2010
sd,0.02149817537169537,11.188242641228996,0.05581629578621234,3.409993282572873,0.021041185363032233,9.314048661192091,0.03963632209351077,4.581484475582122,1.7845533171838608,4.04527334715492,5.519959305911254,4.171811929884318,1.1818621025976974,0.887779651354775,2.1391034446230104,2.1348157821332783,14.502351601393594,0.02245754371789732,2.762597409041796,1.699963769844249,0.06588883786368109,0.046657109104899064,1.2897630621993161,1.8996055267890242,1.4872860101291632,3.4842772084528395,0.2800861427391533,0.4461947800524248,1.1103022849752062,1.8078852491444457,1.5284266298919824,1.2468594807815414,2.365227737169774,0.03889891062762392,0.8754231780920246,1.220770354299492,1.4791191586379158,1.075196472140652,2010
mean,0.45707142857142863,47.89310344827586,0.2881101190476191,10.193103448275863,0.48035714285714276,37.717241379310344,0.7739017857142857,14.455172413793106,5.306896551724138,15.999999999999996,21.324137931034485,13.368965517241381,4.244827586206897,2.393103448275862,8.017241379310345,8.62758620689655,58.57241379310345,0.4969732142857143,26.464285714285715,17.53125,0.22293750000000004,0.29767857142857146,4.852678571428571,14.541071428571428,9.70535714285714,18.103571428571428,1.773214285714286,1.4589285714285716,13.025,22.45535714285715,2.8937500000000003,1.8812500000000003,4.771428571428572,0.1266071428571429,1.4107142857142858,0.05089285714285717,1.4625000000000004,1.6241071428571427,2011
sd,0.02206921531342392,10.199892542658153,0.04499765113652303,3.329728757130093,0.023375500447349165,8.80438482338355,0.05515043984603968,4.282071111614812,2.0899301140883635,4.03440560323681,5.7993629682438765,3.457507715958322,1.1387920313386437,1.1348162326004148,1.9608797161181877,2.045010749486966,13.26264616323724,0.019993325192390502,2.268661587109324,1.9908427514776523,0.06831407672437433,0.06247895412852802,1.5179990985595193,1.8591268147244588,1.5823294645526684,2.6643280916385246,0.3085906262399663,0.6392347235140092,1.2492960981051455,1.588651261507015,1.1844209594815769,0.9430698738890121,1.8210664646802626,0.03731431984652093,0.9459570054102122,1.008034440155535,1.5033835295881874,0.802007958734211,2011
mean,0.4601517857142857,48.56551724137931,0.2991011904761905,10.996551724137932,0.48530357142857145,37.58275862068966,0.7730624999999999,13.982758620689653,5.544827586206896,17.262068965517244,22.77931034482759,14.358620689655174,4.3517241379310345,2.486206896551724,8.144827586206896,8.768965517241378,59.40344827586206,0.50275,26.669642857142858,17.35982142857143,0.23294642857142864,0.28518750000000004,4.989285714285714,15.500892857142855,10.258928571428573,18.678571428571423,1.7839285714285715,1.5276785714285714,12.95982142857143,22.268749999999994,3.5392857142857146,2.48125,6.016964285714286,0.12379464285714284,1.2580357142857141,0.27499999999999997,1.5339285714285715,2.1607142857142856,2012
sd,0.021305574310332993,10.512450980421432,0.059980356683089896,3.9737965616398245,0.025086180822396383,8.13963271220853,0.04754377247259547,4.294271014595846,2.2094902784670483,4.4087910387820965,6.2458774581058565,3.55191268809389,1.0831899614614406,1.0453038307220381,1.8074421956567228,2.095761615444007,13.156081775541267,0.024798540130269633,2.0571167923466325,1.786113348266885,0.055894301585541345,0.0670408120931654,1.524027142198829,2.2410468178837966,1.7072044276160832,2.7135950109767455,0.2890929529575833,0.5110056934937895,1.3089495945242855,1.560665589847272,1.6667698380765392,0.9838657927523186,2.241300605917166,0.03510137788602258,1.0694419964927662,0.9380584756312921,1.3597421849467677,0.9529299013177185,2012
mean,0.4610357142857143,49.56206896551724,0.3214761904761904,12.534482758620685,0.4900178571428571,37.017241379310335,0.7833392857142857,15.155172413793103,4.993103448275861,16.97931034482759,22.010344827586206,14.737931034482761,4.341379310344828,2.203448275862069,8.44137931034483,9.13103448275862,61.9,0.5081875,26.616071428571427,17.376785714285713,0.25841964285714286,0.30219642857142853,4.452678571428571,15.041071428571426,9.746428571428572,19.048214285714284,1.7303571428571427,1.367857142857143,13.105357142857143,22.545535714285712,3.4651785714285714,2.3241071428571423,5.784821428571428,0.11936607142857143,1.3232142857142863,0.04285714285714288,1.3678571428571427,2.0473214285714287,2013
sd,0.026855556212279415,10.480983248351118,0.06795026192177699,3.6925867686941323,0.02750580145635851,8.36105209397876,0.050698190772640477,4.467148835578665,1.9628570711525075,4.200287346492314,5.826500102829816,3.5212024927677605,1.0926760209227195,0.9375053366022168,2.093786256211342,2.1344292392440423,13.690455486526787,0.026829763824004343,2.6496699155509273,2.0573820178070408,0.058088018046826714,0.06442352475864731,1.3388659395056153,1.8593633703117702,1.4728989160601678,2.5438099212291614,0.22703372473998695,0.5025793259138092,1.5279245961200347,1.6071750805117624,1.60889223572944,1.1065144252473273,2.401671286194515,0.04176441213559393,1.105435404653946,1.0526610271570036,1.6699115238103177,1.0964027731656334,2013
mean,0.4562232142857144,49.18275862068966,0.33425297619047617,12.124137931034484,0.485169642857143,37.0551724137931,0.7667589285714286,14.458620689655174,4.968965517241381,16.97586206896552,21.927586206896557,14.255172413793103,4.3068965517241375,2.2413793103448274,8.055172413793104,8.76206896551724,60.15862068965519,0.5019017857142857,26.589285714285715,17.425,0.2520267857142857,0.2911160714285714,4.520535714285715,15.21875,9.878571428571428,19.12232142857143,1.7633928571428574,1.438392857142857,12.669642857142852,22.73571428571429,3.200892857142857,2.1767857142857143,5.3794642857142865,0.1185535714285714,1.330357142857143,0.16874999999999998,1.4910714285714288,1.9776785714285714,2014
sd,0.03254458048454986,10.860448194037364,0.04538689125971985,4.623824574373608,0.03280208987042938,9.025661281942432,0.049824343398642196,4.2444516086448765,1.8316860788971498,4.07173665760287,5.630585896418401,3.583552328436184,1.1535445481777207,1.0115466380672824,2.128981347112905,1.955471041737487,14.26215064030315,0.03833576920314533,2.5112840578173588,2.643282891490134,0.08038997367248911,0.05362129215977174,1.3014068877818872,1.6216792993684046,1.3951588633443341,2.997679189387479,0.3212016026994878,0.5320071246589002,1.5153742531084946,1.7829104972683973,1.9608610417702408,0.9841081827441104,2.6562823294017646,0.05224711391740612,1.5528700600115979,0.9955834181988933,2.044201536207945,1.203512207498488,2014
mean,0.461,49.141379310344824,0.3351309523809523,13.22758620689655,0.49207142857142855,35.91724137931035,0.779577380952381,14.382758620689653,4.7137931034482765,17.300000000000004,21.99655172413793,13.417241379310346,4.327586206896552,2.475862068965518,7.7206896551724125,9.048275862068964,61.09655172413794,0.5107857142857142,26.678571428571427,17.2625,0.27130357142857137,0.29376785714285714,4.25625,15.426785714285714,9.85,17.570535714285715,1.7267857142857144,1.5955357142857143,12.207142857142857,22.40267857142857,3.298214285714286,2.3285714285714283,5.620535714285714,0.11984821428571427,1.2294642857142857,0.1339285714285714,1.3526785714285714,1.9696428571428577,2015
sd,0.02346441355976544,10.213279774090319,0.047819670633233134,5.180864279230151,0.022734055986279755,8.39723887296623,0.04212387381461863,4.00821201370362,1.6374466486251078,4.098170323449234,5.516435362922373,3.8559850479034763,1.1438957718891234,0.9734530483995741,2.017668263534637,2.079254792614613,13.122322386970463,0.02639406799636663,2.9090035385508877,1.7622783548577108,0.08236957583847038,0.0733123684859238,1.1998963111066752,1.7584969456716457,1.4063513337975238,3.1722761250389384,0.2746992102002772,0.5229480876539778,1.6971361654331585,1.3280684122709787,1.5205220925269167,0.9160531857667649,2.158478690637577,0.039800913078449685,1.1715977846716932,0.8934487458022766,1.5796644522638446,1.053727008511032,2015
mean,0.4658482142857144,49.658620689655166,0.3322738095238096,15.437931034482755,0.5063839285714286,34.23793103448276,0.7822053571428575,14.789655172413791,4.958620689655173,17.848275862068963,22.782758620689652,13.079310344827588,4.055172413793104,2.4827586206896552,7.665517241379311,8.858620689655174,63.531034482758635,0.523767857142857,26.535714285714285,17.486607142857142,0.31537500000000007,0.29,4.536607142857142,16.135714285714286,10.35,17.111607142857146,1.6401785714285715,1.6714285714285715,11.999107142857142,22.717857142857145,3.433928571428573,2.2982142857142853,5.725892857142857,0.12205357142857141,1.3544642857142857,0.2017857142857143,1.5625,2.0732142857142852,2016
sd,0.027464736589896167,10.837452166359402,0.04910541202657628,5.468573448944658,0.025414205904818032,8.830443031803728,0.043887854430746456,4.05474544097814,1.7364819198966854,4.542861015582202,5.903876992858001,4.156439007332464,1.0601840160006426,0.9434242211665672,1.9709091198278752,1.9314164382980896,14.701897434594622,0.02585383850820736,2.420699973104548,2.286782493653566,0.09347775284942285,0.05385108926302991,1.3192218901695973,2.180038104613343,1.6272704935748261,3.520886634329333,0.23326777707198618,0.5441913081758839,1.4775085721199153,1.5460501815986323,1.7288699783721164,0.8595576104684812,2.236166136067541,0.040926557819106105,1.364056680752995,0.9988634414188831,1.796286034716776,1.1479234184400866,2016
mean,0.4569642857142857,48.3448275862069,0.3548660714285714,16.875862068965517,0.4981964285714286,31.48620689655173,0.7772499999999999,12.813793103448278,4.182758620689656,16.886206896551723,21.01724137931034,13.234482758620691,4.2137931034482765,2.293103448275862,8.151724137931035,8.796551724137931,60.49655172413794,0.5234642857142857,26.625,16.517857142857146,0.35645535714285714,0.2535714285714286,3.763392857142857,15.273214285714289,9.524107142857144,17.258035714285718,1.6875,1.594642857142857,13.148214285714285,22.105357142857144,0.8508928571428571,0.661607142857143,1.5232142857142859,0.11113392857142855,0.9553571428571429,0.04999999999999998,1.014285714285714,0.5178571428571429,2017
sd,0.025801388338840225,10.949546181296952,0.03175335226855592,5.625557443642731,0.040640437644760566,8.090193540768576,0.04454149126875349,4.030395597202679,1.701904178416727,4.585436895988603,5.9829560876541645,3.5908888535598944,1.1825288090513706,0.9334770004369832,2.153837221872889,2.1143189985397677,15.043258641061515,0.027351934243820975,1.9358938982251028,2.3945526252584797,0.08351394465428856,0.044892353610591774,1.2101515466556312,2.166441532869954,1.600802491791185,2.826462695499026,0.30303251261820685,0.5251259612057617,1.572594114410088,1.7839219841413032,0.5186557653300046,0.2610060790104768,0.623384154621213,0.0421065382746693,1.3779237793865602,0.8699191107564308,1.5929013328152677,0.28503225474213656,2017
