season,team_name,w,l,wp,fg,fga,3p,3pa,2p,2pa,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,mp,2p%,3p%,fg%,ft%,efg%,age
2002,orlando_magic,42.0,40.0,0.5121951219512195,56.4,126.9,9.1,26.3,47.300000000000004,100.50000000000001,29.5,38.2,18.4,47.5,65.8,30.099999999999994,12.399999999999999,5.8999999999999995,21.9,33.70000000000001,150.70000000000002,374.19999999999993,0.4515882352941175,0.24191666666666664,0.4314705882352941,0.7410624999999998,0.4563529411764706,26.764705882352942
2003,orlando_magic,21.0,61.0,0.25609756097560976,53.400000000000006,126.69999999999999,7.500000000000001,22.400000000000002,45.99999999999999,104.39999999999999,26.7,38.20000000000001,19.2,44.4,63.699999999999996,29.4,11.9,5.5,19.2,34.99999999999999,140.5,395.1999999999999,0.42623809523809525,0.23142857142857146,0.410952380952381,0.691,0.4314285714285714,25.761904761904763
2004,orlando_magic,36.0,46.0,0.43902439024390244,52.5,118.00000000000003,6.9,19.0,45.6,98.90000000000002,28.499999999999996,38.4,17.799999999999997,43.10000000000001,60.7,27.700000000000003,12.1,7.2,22.1,35.9,140.7,357.59999999999997,0.45588888888888884,0.22630769230769232,0.4414444444444444,0.7014705882352943,0.4628333333333333,27.11111111111111
2005,orlando_magic,36.0,46.0,0.43902439024390244,55.900000000000006,119.4,5.6,14.9,50.3,104.7,32.1,43.3,16.7,45.2,61.8,29.500000000000004,10.9,7.1000000000000005,22.799999999999997,38.1,149.29999999999998,383.00000000000006,0.4598888888888889,0.22715384615384615,0.4553333333333332,0.7577777777777778,0.48016666666666663,26.666666666666668
2006,orlando_magic,40.0,42.0,0.4878048780487805,43.1,92.60000000000001,5.8,16.3,37.1,76.00000000000001,24.700000000000003,34.599999999999994,13.899999999999999,35.900000000000006,50.2,23.699999999999996,8.600000000000001,5.499999999999999,19.599999999999998,30.099999999999994,117.0,305.00000000000006,0.4714666666666666,0.2666923076923077,0.4559999999999999,0.7427142857142857,0.4927333333333332,26.0
2007,orlando_magic,52.0,30.0,0.6341463414634146,45.699999999999996,96.70000000000002,11.2,29.5,34.5,67.2,23.0,31.9,12.2,39.00000000000001,51.2,24.6,7.700000000000001,4.699999999999999,16.7,26.099999999999998,125.30000000000001,296.59999999999997,0.50375,0.3055833333333333,0.47187500000000004,0.7238,0.51675,26.9375
2008,orlando_magic,59.0,23.0,0.7195121951219512,49.4,110.19999999999999,14.5,38.3,34.900000000000006,71.89999999999999,24.800000000000004,34.8,12.899999999999999,45.0,57.699999999999996,28.5,9.700000000000001,6.699999999999999,17.8,28.5,137.8,335.59999999999997,0.4633125,0.3834666666666667,0.44462500000000005,0.7253750000000001,0.5068125,27.875
2009,orlando_magic,59.0,23.0,0.7195121951219512,41.699999999999996,89.10000000000001,11.5,31.1,30.000000000000004,57.89999999999999,20.999999999999996,29.0,11.1,36.900000000000006,47.699999999999996,22.900000000000002,6.8999999999999995,5.800000000000001,15.4,22.5,116.0,272.2,0.5139999999999999,0.30281818181818176,0.47058333333333335,0.7827500000000001,0.5329166666666666,27.833333333333332
2010,orlando_magic,52.0,30.0,0.6341463414634146,56.29999999999999,125.49999999999999,16.2,44.599999999999994,40.3,80.8,24.699999999999996,35.1,15.7,50.69999999999999,66.5,31.199999999999996,11.0,6.9,22.299999999999997,33.9,153.6,397.80000000000007,0.467,0.28,0.4312941176470587,0.6929375,0.4924117647058824,28.41176470588235
2011,orlando_magic,37.0,29.0,0.5606060606060606,43.6,100.49999999999999,11.9,33.2,31.7,67.3,19.2,29.6,14.9,40.199999999999996,54.99999999999999,25.800000000000004,9.500000000000002,5.599999999999999,19.400000000000002,24.400000000000006,118.6,321.6,0.44993749999999993,0.24833333333333332,0.41618750000000004,0.6439375,0.46575,26.625
