season,team_name,w,l,wp,fg,fga,3p,3pa,2p,2pa,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,mp,2p%,3p%,fg%,ft%,efg%,age
2011,cleveland_cavaliers,21.0,45.0,0.3181818181818182,20.5,45.6,3.8,9.899999999999999,16.6,35.8,7.8999999999999995,11.6,7.7,17.4,25.0,10.6,4.300000000000001,1.8,7.8,10.7,52.5,124.5,0.4535,0.31,0.45075,0.55675,0.4945,26.25
2012,cleveland_cavaliers,24.0,58.0,0.2926829268292683,22.2,48.50000000000001,2.6,7.6000000000000005,19.6,40.9,11.5,15.0,10.7,20.700000000000003,31.4,12.200000000000001,5.0,2.3000000000000003,8.100000000000001,10.5,58.6,133.0,0.475,0.1765,0.457,0.75325,0.48125,24.0
2013,cleveland_cavaliers,33.0,49.0,0.4024390243902439,22.299999999999997,50.39999999999999,4.4,11.899999999999999,17.9,38.5,11.299999999999999,14.4,7.1,18.5,25.6,11.9,3.5,1.8000000000000003,7.3999999999999995,9.2,60.3,130.4,0.46649999999999997,0.28025,0.448,0.77725,0.49025,24.0
2014,cleveland_cavaliers,53.0,29.0,0.6463414634146342,26.9,58.7,8.5,22.400000000000002,18.3,36.2,13.600000000000001,17.6,3.9,18.5,22.4,17.3,5.199999999999999,1.9,9.1,8.4,76.1,138.1,0.5002500000000001,0.38149999999999995,0.45375,0.79875,0.5327500000000001,26.75
2015,cleveland_cavaliers,57.0,25.0,0.6951219512195121,28.400000000000002,61.900000000000006,5.800000000000001,16.3,22.7,45.5,11.3,14.2,5.199999999999999,20.1,25.3,15.9,4.3,3.4,7.3999999999999995,12.0,73.9,140.6,0.48975,0.37249999999999994,0.454,0.8126666666666668,0.5025000000000001,29.0
2016,cleveland_cavaliers,51.0,31.0,0.6219512195121951,28.8,58.0,6.6,17.2,22.4,40.7,14.6,19.400000000000002,8.2,23.9,32.099999999999994,17.4,3.8,2.4,9.4,8.399999999999999,78.69999999999999,134.20000000000002,0.5477500000000001,0.28425,0.512,0.7370000000000001,0.55975,27.25
2017,cleveland_cavaliers,15.0,7.0,0.6818181818181818,25.5,51.5,6.0,17.400000000000002,19.3,34.1,12.3,14.9,5.3999999999999995,18.5,23.900000000000002,14.1,3.3,1.8,9.8,8.5,69.39999999999999,124.5,0.5485,0.335,0.47275,0.7842500000000001,0.537,30.75
2000,atlanta_hawks,25.0,57.0,0.3048780487804878,22.5,51.5,4.6,10.6,17.9,40.7,13.099999999999998,16.7,6.4,21.3,27.7,15.1,3.6000000000000005,3.4,10.6,9.899999999999999,62.8,141.5,0.44075000000000003,0.4323333333333334,0.44,0.77025,0.47925000000000006,29.75
2001,atlanta_hawks,33.0,49.0,0.4024390243902439,20.1,45.8,3.5,9.8,16.6,35.9,11.4,13.9,5.699999999999999,14.8,20.4,12.3,5.0,2.0,8.6,10.0,55.099999999999994,134.60000000000002,0.44875,0.29275,0.43574999999999997,0.84425,0.474,27.25
2002,atlanta_hawks,35.0,47.0,0.4268292682926829,24.2,54.1,3.6,9.8,20.6,44.3,14.600000000000001,17.3,5.8,20.200000000000003,25.9,14.3,4.7,4.300000000000001,11.0,11.2,66.6,144.8,0.46675,0.35433333333333333,0.4505,0.831,0.47925,27.5
