0,1,season
Philadelphia 76ers,mip,2012
Sacramento Kings,mip,2012
Detroit Pistons,mip,2012
Cleveland Cavaliers,mip,2012
Phoenix Suns,mip,2012
Orlando Magic,mip,2012
Charlotte Bobcats,mip,2012
San Antonio Spurs,map,2013
Los Angeles Clippers,map,2013
Oklahoma City Thunder,map,2013
Golden State Warriors,map,2013
Houston Rockets,map,2013
Portland Trail Blazers,map,2013
Miami Heat,map,2013
Indiana Pacers,map,2013
Minnesota Timberwolves,mip,2013
Phoenix Suns,mip,2013
Dallas Mavericks,map,2013
Toronto Raptors,map,2013
Memphis Grizzlies,map,2013
Chicago Bulls,map,2013
Washington Wizards,map,2013
Atlanta Hawks,map,2013
Charlotte Bobcats,map,2013
Denver Nuggets,mip,2013
New York Knicks,mip,2013
Brooklyn Nets,map,2013
New Orleans Pelicans,mip,2013
Sacramento Kings,mip,2013
Cleveland Cavaliers,mip,2013
Detroit Pistons,mip,2013
Boston Celtics,mip,2013
Los Angeles Lakers,mip,2013
Orlando Magic,mip,2013
Utah Jazz,mip,2013
Milwaukee Bucks,mip,2013
Philadelphia 76ers,mip,2013
Golden State Warriors,map,2014
Los Angeles Clippers,map,2014
San Antonio Spurs,map,2014
Atlanta Hawks,map,2014
Portland Trail Blazers,map,2014
Cleveland Cavaliers,map,2014
Houston Rockets,map,2014
Memphis Grizzlies,map,2014
Dallas Mavericks,map,2014
Chicago Bulls,map,2014
Oklahoma City Thunder,mip,2014
Toronto Raptors,map,2014
New Orleans Pelicans,map,2014
Utah Jazz,mip,2014
Washington Wizards,map,2014
Milwaukee Bucks,map,2014
Indiana Pacers,mip,2014
Phoenix Suns,mip,2014
Boston Celtics,map,2014
Detroit Pistons,mip,2014
Miami Heat,mip,2014
Denver Nuggets,mip,2014
Sacramento Kings,mip,2014
Brooklyn Nets,map,2014
Charlotte Hornets,mip,2014
Orlando Magic,mip,2014
Los Angeles Lakers,mip,2014
Minnesota Timberwolves,mip,2014
Philadelphia 76ers,mip,2014
New York Knicks,mip,2014
Golden State Warriors,map,2015
San Antonio Spurs,map,2015
Oklahoma City Thunder,map,2015
Cleveland Cavaliers,map,2015
Los Angeles Clippers,map,2015
Toronto Raptors,map,2015
Atlanta Hawks,map,2015
Boston Celtics,map,2015
Charlotte Hornets,map,2015
Utah Jazz,mip,2015
Indiana Pacers,map,2015
Miami Heat,map,2015
Portland Trail Blazers,map,2015
Detroit Pistons,map,2015
Houston Rockets,map,2015
Dallas Mavericks,map,2015
Washington Wizards,mip,2015
Chicago Bulls,mip,2015
Orlando Magic,mip,2015
Memphis Grizzlies,map,2015
Sacramento Kings,mip,2015
New York Knicks,mip,2015
Denver Nuggets,mip,2015
Minnesota Timberwolves,mip,2015
New Orleans Pelicans,mip,2015
Milwaukee Bucks,mip,2015
Phoenix Suns,mip,2015
Brooklyn Nets,mip,2015
Los Angeles Lakers,mip,2015
Philadelphia 76ers,mip,2015
Golden State Warriors,map,2016
San Antonio Spurs,map,2016
Houston Rockets,map,2016
Los Angeles Clippers,map,2016
Utah Jazz,map,2016
Toronto Raptors,map,2016
Cleveland Cavaliers,map,2016
