season,team_name,w,l,wp,fg,fga,3p,3pa,2p,2pa,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,mp,2p%,3p%,fg%,ft%,efg%,age
2004,dallas_mavericks,58.0,24.0,0.7073170731707317,24.2,52.400000000000006,4.7,12.0,19.4,40.400000000000006,13.700000000000001,16.5,4.6000000000000005,17.9,22.599999999999998,12.5,4.9,2.6,6.6,9.7,66.8,137.7,0.488,0.3805,0.4655,0.81925,0.512,27.0
2005,dallas_mavericks,60.0,22.0,0.7317073170731707,22.6,47.5,4.0,9.600000000000001,18.6,37.9,12.6,15.4,5.700000000000001,16.2,21.9,8.8,3.7,3.5,5.3,10.4,61.6,124.2,0.49075,0.4365,0.47700000000000004,0.7442500000000001,0.51025,26.0
2006,dallas_mavericks,67.0,15.0,0.8170731707317073,24.7,50.1,4.2,10.2,20.5,39.9,13.5,16.3,6.9,19.1,26.0,11.0,3.2,2.9000000000000004,7.200000000000001,10.0,67.3,131.6,0.53225,0.413,0.5177499999999999,0.7895000000000001,0.554,28.5
2007,dallas_mavericks,51.0,31.0,0.6219512195121951,23.0,47.2,2.5,7.5,20.5,39.7,15.599999999999998,19.2,6.1000000000000005,19.2,25.4,11.9,3.2,2.9,7.1,11.700000000000001,64.0,127.1,0.5349999999999999,0.34500000000000003,0.515,0.7719999999999999,0.53775,28.0
2008,dallas_mavericks,50.0,32.0,0.6097560975609756,17.9,37.7,3.1000000000000005,8.399999999999999,14.8,29.3,9.299999999999999,11.3,5.300000000000001,18.400000000000002,23.800000000000004,13.299999999999999,3.8,2.9,5.8999999999999995,9.3,47.89999999999999,120.20000000000002,0.51125,0.35566666666666663,0.49,0.7735,0.5345,30.5
2009,dallas_mavericks,55.0,27.0,0.6707317073170732,20.200000000000003,41.2,2.8000000000000003,7.1,17.3,34.1,10.1,12.100000000000001,6.0,20.9,26.999999999999996,13.8,3.9,3.5999999999999996,6.6,9.1,53.3,128.6,0.513,0.33425000000000005,0.509,0.7705,0.54725,33.0
2010,dallas_mavericks,57.0,25.0,0.6951219512195121,16.5,33.8,3.9000000000000004,10.7,12.6,23.0,9.600000000000001,11.7,4.199999999999999,18.099999999999998,22.3,12.299999999999999,3.0,2.2,5.9,8.1,46.3,111.4,0.503,0.37033333333333335,0.48,0.8152499999999999,0.5502500000000001,31.5
2011,dallas_mavericks,36.0,30.0,0.5454545454545454,16.5,36.900000000000006,3.2,9.1,13.3,27.7,7.6,9.6,5.8999999999999995,18.299999999999997,24.2,10.2,3.9000000000000004,2.3,6.300000000000001,7.4,43.6,113.9,0.46575000000000005,0.33866666666666667,0.446,0.7367499999999999,0.49524999999999997,34.0
2012,dallas_mavericks,41.0,41.0,0.5,19.799999999999997,41.0,2.5999999999999996,7.1,17.2,34.1,7.5,9.0,4.5,15.299999999999999,19.6,12.7,3.8000000000000003,1.9000000000000001,7.800000000000001,7.9,49.900000000000006,115.5,0.50375,0.26875,0.48525,0.8175,0.5152500000000001,28.5
2013,dallas_mavericks,49.0,33.0,0.5975609756097561,23.6,49.99999999999999,5.6,13.9,18.1,36.0,9.6,11.600000000000001,3.1,15.599999999999998,18.7,14.7,4.7,1.5,7.3,7.799999999999999,62.5,132.0,0.497,0.38375,0.47150000000000003,0.82425,0.5335,32.5
2014,dallas_mavericks,50.0,32.0,0.6097560975609756,23.5,49.199999999999996,4.4,12.5,19.2,36.8,10.799999999999999,13.9,5.8999999999999995,18.9,24.700000000000003,9.5,4.0,2.1999999999999997,6.5,9.0,62.2,126.9,0.54,0.34833333333333333,0.508,0.7685,0.54775,30.75
2015,dallas_mavericks,42.0,40.0,0.5121951219512195,18.6,43.800000000000004,5.6,15.600000000000001,13.1,28.200000000000003,10.5,12.399999999999999,4.6,17.3,21.9,11.2,3.4,1.4,6.0,9.200000000000001,53.5,124.20000000000002,0.45949999999999996,0.268,0.42899999999999994,0.8482500000000001,0.48625,32.0
2016,dallas_mavericks,33.0,49.0,0.4024390243902439,22.5,50.4,6.9,17.9,15.7,32.5,8.1,9.6,2.2,15.4,17.6,8.6,3.6,1.2,4.9,7.700000000000001,59.7,125.1,0.47875,0.37925,0.44475000000000003,0.8504999999999999,0.51675,29.5
2017,dallas_mavericks,5.0,17.0,0.22727272727272727,20.8,49.900000000000006,6.6,18.6,14.100000000000001,31.400000000000002,7.800000000000001,9.6,2.9000000000000004,17.5,20.299999999999997,11.0,3.3,0.8,7.7,7.700000000000001,55.9,123.70000000000002,0.43374999999999997,0.35625,0.4155,0.7957500000000001,0.48650000000000004,28.75
2000,washington_wizards,19.0,63.0,0.23170731707317074,20.3,44.2,0.6,2.5,19.7,41.699999999999996,11.7,16.0,6.4,14.7,21.2,7.7,3.3,2.5,8.9,11.4,53.0,116.3,0.47275,0.16033333333333333,0.46149999999999997,0.7342500000000001,0.46775,24.75
2001,washington_wizards,37.0,45.0,0.45121951219512196,22.1,51.199999999999996,2.1,5.5,20.0,45.7,12.299999999999999,15.199999999999998,4.3,12.799999999999999,17.299999999999997,11.899999999999999,3.3,1.8000000000000003,6.700000000000001,8.7,58.5,115.4,0.45774999999999993,0.3253333333333333,0.45174999999999993,0.77475,0.47974999999999995,29.0
2002,washington_wizards,37.0,45.0,0.45121951219512196,20.8,46.8,1.2,4.4,19.5,42.5,13.2,16.3,5.7,15.7,21.4,11.8,3.9,2.9,6.8,9.5,56.0,129.10000000000002,0.47625,0.2353333333333333,0.4645,0.79125,0.4735,30.75
2003,washington_wizards,25.0,57.0,0.3048780487804878,19.6,46.1,3.5999999999999996,9.899999999999999,16.0,36.2,13.600000000000001,18.8,7.4,15.0,22.3,9.5,4.8,2.6,9.5,9.5,56.3,121.0,0.45525,0.304,0.44825,0.70325,0.4755,23.0
2004,washington_wizards,45.0,37.0,0.5487804878048781,21.9,48.4,3.8000000000000003,10.799999999999999,18.099999999999998,37.7,13.400000000000002,18.400000000000002,8.4,15.799999999999999,24.0,10.2,4.2,2.7,7.6000000000000005,11.2,61.3,132.7,0.4935,0.34,0.47400000000000003,0.69175,0.5025,24.75
2005,washington_wizards,42.0,40.0,0.5121951219512195,22.5,49.99999999999999,4.5,11.9,18.099999999999998,38.0,13.799999999999999,18.6,7.300000000000001,16.3,23.6,10.5,4.3,2.3000000000000003,7.9,11.700000000000001,63.5,131.5,0.48124999999999996,0.361,0.4635,0.6812499999999999,0.4955,25.75
2006,washington_wizards,41.0,41.0,0.5,27.4,61.900000000000006,6.0,16.6,21.5,45.2,17.799999999999997,21.9,5.7,16.9,22.6,14.3,5.8999999999999995,1.2,9.1,11.1,78.5,146.6,0.47750000000000004,0.34225,0.448,0.7867500000000001,0.494,26.5
2007,washington_wizards,43.0,39.0,0.524390243902439,18.4,41.2,3.5999999999999996,10.5,14.599999999999998,30.8,11.200000000000001,14.700000000000001,6.9,16.2,23.199999999999996,10.3,3.5,2.3000000000000003,5.3,7.6000000000000005,51.599999999999994,128.3,0.47250000000000003,0.3173333333333333,0.45225000000000004,0.767,0.49275,29.25
2008,washington_wizards,19.0,63.0,0.23170731707317074,21.000000000000004,47.300000000000004,3.6,10.5,17.3,36.9,11.5,14.4,6.1,16.8,22.9,12.3,4.4,1.6,7.5,9.0,57.099999999999994,132.7,0.45425000000000004,0.382,0.43499999999999994,0.7937500000000001,0.46950000000000003,29.0
2009,washington_wizards,26.0,56.0,0.3170731707317073,21.7,46.7,3.4,9.3,18.3,37.4,11.0,14.6,8.9,23.2,32.0,7.9,3.5,2.8000000000000003,7.4,10.8,58.1,144.6,0.5015000000000001,0.3626666666666667,0.48350000000000004,0.7617499999999999,0.522,30.25
